City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,new norfolk,-42.7826,147.0587,22.18,52,98,1.87,AU,1674858605
84,atambua,-9.1061,124.8925,24.65,81,100,0.25,ID,1674858606
85,morondava,-20.2833,44.2833,27.13,81,100,11.13,MG,1674858607
86,jalor,25.35,72.6167,9.35,26,0,3.4,IN,1674858607
87,calabozo,8.9242,-67.4293,29.49,34,100,3.27,VE,1674858608
88,ankola,14.6667,74.3,20.93,49,0,2.49,IN,1674858609
89,cidreira,-30.1811,-50.2056,24.9,81,4,8.7,BR,1674858609
90,qaanaaq,77.484,-69.3632,-18.47,95,100,1.73,GL,1674858610
91,bethel,41.3712,-73.414,3.64,78,100,2.57,US,1674858611
92,kondinskoye,59.6481,67.41,-5.48,97,100,2.47,RU,1674858611
93,nikolskoye,59.7035,30.7861,-4.0,96,30,1.67,RU,1674858612
94,bredasdorp,-34.5322,20.0403,18.29,87,1,1.17,ZA,1674858613
95,challans,46.8436,-1.8749,6.11,76,50,6.1,FR,1674858613
96,nayoro,44.3506,142.4578,-8.66,94,100,1.42,JP,1674858614
97,victoria,22.2855,114.1577,12.36,32,99,6.71,HK,1674858488
98,carnarvon,-24.8667,113.6333,23.82,67,0,9.32,AU,1674858616
99,barrow,71.2906,-156.7887,-28.99,76,0,6.17,US,1674858617
100,yellowknife,62.456,-114.3525,-25.71,70,40,6.69,CA,1674858512
101,nangomba,-10.9,38.5,21.67,98,92,2.02,TZ,1674858618
102,praia,14.9215,-23.5087,24.3,57,0,7.72,CV,1674858619
103,vallenar,-28.5708,-70.7581,26.85,41,0,2.88,CL,1674858619
104,jumla,29.2747,82.1838,-0.08,37,0,2.98,NP,1674858620
105,catuday,16.2923,119.8062,23.68,67,51,4.69,PH,1674858621
106,atuona,-9.8,-139.0333,26.25,76,39,8.87,PF,1674858622
107,saskylakh,71.9167,114.0833,-40.92,97,18,3.37,RU,1674858622
108,pangody,65.85,74.4859,-15.09,98,84,4.56,RU,1674858623
109,gravdal,68.1214,13.5031,4.94,65,40,5.14,NO,1674858624
110,adrar,20.5022,-10.0711,14.82,18,100,4.71,MR,1674858625
111,dikson,73.5069,80.5464,-21.38,93,100,5.6,RU,1674858627
112,berlevag,70.8578,29.0864,1.97,80,75,12.35,NO,1674858628
113,bambari,5.768,20.6757,26.77,20,83,0.96,CF,1674858628
114,soledade,-28.8183,-52.5103,25.46,45,89,0.87,BR,1674858629
115,sungaipenuh,-2.0833,101.3833,17.6,94,99,0.85,ID,1674858630
116,waingapu,-9.6567,120.2641,26.47,85,100,2.63,ID,1674858630
117,langsa,4.4683,97.9683,22.88,95,100,1.0,ID,1674858631
118,pentecoste,-3.7928,-39.2703,24.08,86,69,2.26,BR,1674858632
119,alice springs,-23.7,133.8833,24.75,78,100,3.09,AU,1674858632
120,bellavista,-7.0561,-76.5911,27.81,60,88,0.41,PE,1674858633
121,petropavlovsk-kamchatskiy,53.0452,158.6483,-5.67,74,75,2.0,RU,1674858634
122,avarua,-21.2078,-159.775,29.03,70,40,7.72,CK,1674858635
123,faanui,-16.4833,-151.75,27.11,75,17,5.42,PF,1674858636
124,nikolsk,53.7189,46.0712,-12.92,99,58,2.53,RU,1674858636
125,coahuayana,18.7333,-103.6833,29.62,32,55,2.67,MX,1674858637
126,codrington,-38.2667,141.9667,22.82,53,100,6.09,AU,1674858637
127,tual,-5.6667,132.75,28.16,70,100,1.1,ID,1674858638
128,upernavik,72.7868,-56.1549,-23.99,84,51,2.95,GL,1674858639
129,jamestown,42.097,-79.2353,-3.23,72,20,6.69,US,1674858467
130,alakurtti,66.9672,30.3491,-1.62,91,100,5.35,RU,1674858640
131,chifeng,42.2683,118.9636,-15.67,69,1,3.14,CN,1674858640
132,altay,47.8667,88.1167,-16.2,65,0,2.69,CN,1674858641
133,henties bay,-22.116,14.2845,18.55,85,87,1.9,NA,1674858642
134,touros,-5.1989,-35.4608,26.81,75,0,5.88,BR,1674858642
135,beloha,-25.1667,45.05,23.52,89,100,6.4,MG,1674858643
136,rulenge,-2.7175,30.6325,15.04,93,63,0.9,TZ,1674858644
137,sabha,27.0377,14.4283,8.6,27,0,3.26,LY,1674858645
138,ginda,30.6945,78.4932,5.25,16,0,3.96,IN,1674858645
139,ponta delgada,37.7333,-25.6667,13.4,82,20,4.12,PT,1674858536
140,cenotillo,20.9667,-88.6167,21.06,78,86,5.5,MX,1674858646
